"browser","email","abteilung"
"Firefox","Thunderbird","Vertrieb"
"Firefox","Outlook","Vertrieb"
"IE","Outlook","Entwicklung"
"Firefox","Outlook","Entwicklung"
"IE","Thunderbird","Entwicklung"
"IE","Outlook","Entwicklung"
"IE","Thunderbird","Entwicklung"
"Firefox","Outlook","Vertrieb"
"IE","Outlook","Entwicklung"
"IE","Outlook","Vertrieb"
"Chrome","Outlook","Entwicklung"
"IE","Thunderbird","Entwicklung"
"Chrome","Outlook","Entwicklung"
"Firefox","Thunderbird","Vertrieb"
"Firefox","Outlook","Entwicklung"
"Chrome","Outlook","Entwicklung"
"Firefox","Outlook","Entwicklung"
"IE","Thunderbird","Vertrieb"
"Firefox","Thunderbird","Vertrieb"
"Opera","Thunderbird","Vertrieb"
"Chrome","Thunderbird","Vertrieb"
"IE","Outlook","Entwicklung"
"Firefox","Outlook","Vertrieb"
"Firefox","Outlook","Entwicklung"
"IE","Thunderbird","Entwicklung"
"Chrome","Outlook","Vertrieb"
"IE","Thunderbird","Entwicklung"
"IE","Thunderbird","Vertrieb"
"IE","Thunderbird","Entwicklung"
"IE","Thunderbird","Entwicklung"
"IE","Thunderbird","Vertrieb"
"Chrome","Outlook","Vertrieb"
"Safari","Thunderbird","Entwicklung"
"Safari","Thunderbird","Entwicklung"
"Safari","Thunderbird","Entwicklung"
"IE","Thunderbird","Vertrieb"
"Safari","Outlook","Entwicklung"
"Safari","Outlook","Vertrieb"
"Chrome","Outlook","Vertrieb"
"Opera","Thunderbird","Entwicklung"
"Opera","Outlook","Vertrieb"
"Chrome","Outlook","Entwicklung"
"Chrome","Outlook","Vertrieb"
"Opera","Thunderbird","Vertrieb"
"Firefox","Outlook","Entwicklung"
"Firefox","Thunderbird","Vertrieb"
"Firefox","Thunderbird","Entwicklung"
"Chrome","Thunderbird","Entwicklung"
"Firefox","Thunderbird","Entwicklung"
"Chrome","Thunderbird","Entwicklung"
"IE","Thunderbird","Vertrieb"
"Chrome","Outlook","Vertrieb"
"Firefox","Thunderbird","Vertrieb"
"Firefox","Outlook","Entwicklung"
"Firefox","Thunderbird","Vertrieb"
"Chrome","Thunderbird","Vertrieb"
"Chrome","Outlook","Entwicklung"
"Chrome","Outlook","Entwicklung"
"IE","Thunderbird","Vertrieb"
"Chrome","Thunderbird","Vertrieb"